699.751,1.63,0.027,-0.079,0.025,0.628,0.011,3.55,0.06,1.59,0.03,93,1,3.09,1.54,90,0.027

699.329,2.112,0.03,-0.069,0.022,0.628,0.01,3.54,0.05,1.59,0.02,92,1,3.09,1.54,90,0.03

698.908,2.572,0.032,-0.056,0.019,0.64,0.008,3.55,0.04,1.55,0.02,92,1,3.09,1.54,90,0.032

698.908,0.334,0.032,-0.979,0.14,-1.51,0.067,3.48,0.33,1.65,0.16,88,5,3.09,1.54,90,0.032

698.487,2.577,0.033,-0.046,0.019,0.647,0.008,3.58,0.05,1.55,0.02,91,1,3.09,1.54,90,0.033

698.487,0.509,0.033,-0.842,0.105,-1.494,0.045,3.86,0.25,1.66,0.11,90,3,3.09,1.54,90,0.033

698.065,2.088,0.034,-0.06,0.025,0.642,0.011,3.58,0.06,1.55,0.03,91,1,3.09,1.54,90,0.034

698.065,0.57,0.033,-0.641,0.097,-1.514,0.042,3.9,0.23,1.7,0.1,88,3,3.09,1.54,90,0.034

697.644,1.476,0.032,-0.106,0.033,0.629,0.014,3.6,0.08,1.54,0.03,91,1,3.09,1.54,90,0.032

697.644,0.533,0.031,-0.54,0.095,-1.461,0.042,3.81,0.22,1.69,0.1,88,3,3.09,1.54,90,0.032

697.223,1.036,0.03,-0.105,0.044,0.601,0.019,3.65,0.1,1.57,0.05,91,1,3.09,1.54,90,0.03

697.223,0.474,0.029,-0.612,0.101,-1.459,0.043,3.84,0.24,1.63,0.1,88,3,3.09,1.54,90,0.03

696.801,0.859,0.031,-0.16,0.051,0.549,0.024,3.33,0.12,1.56,0.06,92,2,3.09,1.54,90,0.031

696.801,0.459,0.03,-0.551,0.108,-1.497,0.047,3.83,0.25,1.68,0.11,88,3,3.09,1.54,90,0.031

696.38,0.941,0.031,-0.054,0.044,0.479,0.022,3.19,0.1,1.54,0.05,92,2,3.09,1.54,90,0.031

696.38,0.426,0.031,-0.311,0.103,-1.529,0.051,3.38,0.24,1.65,0.12,88,4,3.09,1.54,90,0.031

695.959,1.431,0.029,0.057,0.031,0.445,0.014,3.58,0.07,1.58,0.03,91,1,3.09,1.54,90,0.03

695.959,0.357,0.029,-0.671,0.134,-1.573,0.057,3.89,0.32,1.65,0.13,87,3,3.09,1.54,90,0.03

695.537,1.884,0.029,0.124,0.022,0.411,0.01,3.46,0.05,1.55,0.02,92,1,3.09,1.54,90,0.029

695.537,0.235,0.029,-0.929,0.171,-1.699,0.081,3.36,0.41,1.47,0.18,79,5,3.09,1.54,90,0.029

695.116,1.822,0.027,0.062,0.023,0.389,0.01,3.53,0.05,1.59,0.02,94,1,3.09,1.54,90,0.028

694.694,1.232,0.027,0.058,0.034,0.368,0.016,3.6,0.08,1.65,0.04,93,1,3.09,1.54,90,0.028

694.273,0.742,0.028,0.071,0.059,0.328,0.028,3.7,0.14,1.76,0.07,92,2,3.09,1.54,90,0.028

693.852,0.543,0.027,0.101,0.078,0.339,0.037,3.64,0.18,1.73,0.09,95,3,3.09,1.54,90,0.028

693.43,0.412,0.029,0.15,0.097,0.354,0.048,3.31,0.23,1.57,0.11,97,3,3.09,1.54,90,0.029

693.009,0.373,0.027,0.152,0.112,0.296,0.056,3.69,0.27,1.68,0.12,101,3,3.09,1.54,90,0.028

692.588,0.377,0.027,-0.076,0.12,0.407,0.047,3.89,0.28,1.52,0.11,94,3,3.09,1.54,90,0.028

692.166,0.548,0.028,0.027,0.081,0.352,0.035,3.78,0.19,1.62,0.08,93,2,3.09,1.54,90,0.028

692.166,0.193,0.027,-0.942,0.277,-1.765,0.098,4.61,0.65,1.6,0.23,86,5,3.09,1.54,90,0.028

691.745,1.042,0.028,0.133,0.039,0.31,0.018,3.47,0.09,1.63,0.04,93,1,3.09,1.54,90,0.028

691.745,0.234,0.028,-0.868,0.173,-1.832,0.08,3.46,0.41,1.48,0.18,80,5,3.09,1.54,90,0.028

691.323,1.434,0.03,0.106,0.032,0.336,0.015,3.56,0.08,1.61,0.03,92,1,3.09,1.54,90,0.031

691.323,0.258,0.03,-0.814,0.189,-1.723,0.089,3.88,0.45,1.61,0.19,77,5,3.09,1.54,90,0.031

690.902,1.245,0.029,0.105,0.035,0.318,0.016,3.51,0.08,1.65,0.04,94,1,3.09,1.54,90,0.029

690.481,0.754,0.027,0.114,0.054,0.284,0.026,3.59,0.13,1.67,0.06,95,2,3.09,1.54,90,0.027

690.481,0.178,0.027,-1.131,0.233,-1.935,0.108,3.68,0.55,1.71,0.26,91,7,3.09,1.54,90,0.027

690.059,0.417,0.027,0.01,0.114,0.262,0.05,4.12,0.27,1.74,0.11,97,3,3.09,1.54,90,0.028

690.059,0.162,0.028,-1.158,0.277,-1.935,0.118,3.83,0.65,1.6,0.27,86,7,3.09,1.54,90,0.028

689.638,0.257,0.027,0.237,0.2,0.147,0.102,4.46,0.47,2.23,0.24,96,6,3.09,1.54,90,0.029

689.217,0.226,0.026,0.266,0.214,0.252,0.1,4.41,0.51,1.99,0.23,97,5,3.09,1.54,90,0.027

688.795,0.125,0.025,0.656,0.293,-0.23,0.249,4.14,0.85,1.59,0.33,129,7,3.09,1.54,90,0.026

